captdate,year,month,day,nethours,min_nets,max_nets,relmyrts,relhumme,relgcks,relcats,rel_brcr,notes,date_str,day_hours,doy
27-Apr-67,1967,4,27,1,1,1,,,,,,,4/27/1967,1,117
29-Apr-67,1967,4,29,12,2,2,,,,,,,4/29/1967,6,119
30-Apr-67,1967,4,30,14,2,2,,,,,,,4/30/1967,7,120
13-May-67,1967,5,13,6,1.5,1.5,,,,,,,5/13/1967,4,133
14-May-67,1967,5,14,24,2,2,,,,,,,5/14/1967,12,134
15-May-67,1967,5,15,16,2,2,,,,,,,5/15/1967,8,135
16-May-67,1967,5,16,20,2,2,,,,,,,5/16/1967,10,136
17-May-67,1967,5,17,24,2,2,,,,,,,5/17/1967,12,137
18-May-67,1967,5,18,36,4,4,,,,,,,5/18/1967,9,138
19-May-67,1967,5,19,18,2,2,,,,,,,5/19/1967,9,139
20-May-67,1967,5,20,60,5,5,,,,,,,5/20/1967,12,140
21-May-67,1967,5,21,42,5,5,,,,,,,5/21/1967,8.4,141
27-May-67,1967,5,27,35,5,5,,,,,,,5/27/1967,7,147
28-May-67,1967,5,28,70,5,5,,,,,,,5/28/1967,14,148
29-May-67,1967,5,29,68,5,5,,,,,,,5/29/1967,13.6,149
30-May-67,1967,5,30,65,5,5,,,,,,,5/30/1967,13,150
9-Jun-67,1967,6,9,10,1,1,,,,,,,6/9/1967,10,160
11-Jun-67,1967,6,11,40,4,4,,,,,,,6/11/1967,10,162
12-Jun-67,1967,6,12,24,4,4,,,,,,,6/12/1967,6,163
13-Jun-67,1967,6,13,16,4,4,,,,,,,6/13/1967,4,164
1-Jul-67,1967,7,1,6,2,2,,,,,,,7/1/1967,3,182
2-Jul-67,1967,7,2,8,2,2,,,,,,,7/2/1967,4,183
3-Jul-67,1967,7,3,3,2,2,,,,,,,7/3/1967,1.5,184
4-Jul-67,1967,7,4,6,2,2,,,,,,,7/4/1967,3,185
18-Jul-67,1967,7,18,4,1,1,,,,,,,7/18/1967,4,199
29-Aug-67,1967,8,29,14,3,3,,,,,,,8/29/1967,4.666667,241
